"id","date_time","device_ID","rfid_tag","result","weight_list","_rid","_self","_etag","_attachments","_ts","offset"
"1679646928.898284","2023-03-24 16:35:28.898284","Avehealth001","0007BDAC86",194.20310344827587,"[145.02,219.56,236.8,216.74,202.04,196.39,194.45,191.03,186.82,187.37,190.04,191.55,189.95,194.73,203.77,210.39,213.3,212.78,202.69,188.88,179.22,181.23,185.93,188.79,194.92,203.22,209.03,193.6,121.65,30.79]","pqdVALl1q-EwAAAAAAAAAA==","dbs/pqdVAA==/colls/pqdVALl1q-E=/docs/pqdVALl1q-EwAAAAAAAAAA==/","""07004243-0000-1800-0000-641d60d70000""","attachments/",1679646935,
"1679708201.872385","2023-03-25 09:36:41.872385","Avehealth001","0007BDAF9F",146.99765957446803,"[57,123.14,146.46,148.24,148.12,146.65,148.67,149.66,146.42,146.09,146.64,147.84,148.25,146.27,148.34,149.42,146.91,147.58,149.75,149.29,148.9,149.45,148.84,148.09,147.74,147.93,148.03,147.95,148.83,148.48,148.23,148.11,147.69,147.73,153.47,152.12,150.04,151.27,149.38,149.25,149.8,147.97,148.5,147.69,145.2,152.04,149.72,102.7,27.38]","pqdVALl1q-ExAAAAAAAAAA==","dbs/pqdVAA==/colls/pqdVALl1q-E=/docs/pqdVALl1q-ExAAAAAAAAAA==/","""0900426e-0000-1800-0000-641e50340000""","attachments/",1679708212,
"1679708245.144896","2023-03-25 09:37:25.144896","Avehealth001","0007BDAF9F",151.4042857142857,"[125.15,140.18,152.99,152.66,151.25,148.89,157.28,156.58]","pqdVALl1q-EyAAAAAAAAAA==","dbs/pqdVAA==/colls/pqdVALl1q-E=/docs/pqdVALl1q-EyAAAAAAAAAA==/","""09005c6e-0000-1800-0000-641e505a0000""","attachments/",1679708250,
"1679708253.276586","2023-03-25 09:37:33.276586","Avehealth001","0007BDAF9F",154.15222222222224,"[154.42,155.53,152.53,154.78,153.21,154.08,155,153.35,154.47]","pqdVALl1q-EzAAAAAAAAAA==","dbs/pqdVAA==/colls/pqdVALl1q-E=/docs/pqdVALl1q-EzAAAAAAAAAA==/","""0900616e-0000-1800-0000-641e505f0000""","attachments/",1679708255,
"1679708344.843613","2023-03-25 09:39:04.843613","Avehealth001","0007BDAF9F",153.1707720588234,"[149.8,149.88,150.64,150.57,150.54,150.17,150.05,150.24,150.14,150.02,149.7,149.74,150.03,150.34,150.59,150.42,148.49,148.62,148.52,148.95,148.88,149.35,149.26,149.38,149.85,149.44,148.96,149.97,150.71,148.9,149.06,150.85,147.97,148.06,148.64,148.2,148.97,149.36,148.46,148.24,148.54,148.36,148.01,147.77,148.69,148.68,147.81,148.4,147.55,151.02,156.61,153.77,153.46,153.91,153.64,154.18,153.09,153.71,153.71,151.56,155.38,159.83,151.26,152.47,157.4,153.46,151.39,153.94,154.4,154.68,155.78,154.83,153.71,154.54,154.76,154.3,154.54,154.94,154.43,154.55,154.57,154.35,154.53,154.81,154.48,154.65,154.57,154.09,154.07,154.72,154.43,154.89,154.51,153.71,154.23,154.35,154.31,153.89,153.91,154.73,154.4,154.12,154.01,153.6,153.99,154.53,154.17,153.62,153.85,153.85,153.89,154.16,154.57,153.79,153.91,153.62,153.82,154.48,154.06,153.59,153.91,153.94,153.94,153.93,153.92,152.09,153.43,156.52,154.3,154.06,154.37,152.68,150.96,154.1,159.64,152.94,153.87,154.53,153.69,155.19,153.77,153.86,154.08,154.1,153.33,153.54,156.07,154.29,154.08,154.39,154.08,154.14,154.25,154.11,154.23,153.43,153.77,153.84,153.67,154.14,153.66,154.02,154.45,153.2,153.55,153.78,153.82,153.85,153.85,153.86,153.88,153.91,153.93,153.96,153.96,154.13,154.02,153.88,153.95,154.11,154.1,154.9,154.57,153.3,155.02,154.69,153.54,153.16,153.47,154.76,154.2,154.4,154.85,154.25,153.31,153.98,154.7,154.26,154.47,153.36,153.75,152.51,153.61,154.37,153.56,153.39,153.44,153.87,155.91,153.41,152.65,153.95,155.19,154.93,152.99,155.05,154.4,153.49,153.97,154.78,154.58,153.69,153.04,153.24,154.3,153.72,153.9,153.43,153.78,155.44,154.19,152.23,154.17,154.56,154.08,154.13,154.44,154.34,154.3,153.86,154.31,155.19,155.05,154.93,154.74,154.56,154.7,154.45,154.58,154.58,154.39,155.03,155.73,155.09,155.04,154.81,155.9,154.54,153.49,154.53,154.45,153.63,153.06,150.77,150.09,152.67,153.35,152.34,152.78,152.95,152.38,144.61,105.16,65.98,32.69]","pqdVALl1q-E0AAAAAAAAAA==","dbs/pqdVAA==/colls/pqdVALl1q-E=/docs/pqdVALl1q-E0AAAAAAAAAA==/","""0900ee6e-0000-1800-0000-641e50ed0000""","attachments/",1679708397,
"1679708456.306505","2023-03-25 09:40:56.306505","Avehealth001","0007BDAF9F",153.94961538461544,"[154.13,153.93,153.97,153.96,153.94,153.96,153.96,153.82,153.88,153.86,154.15,154.14,154.1,154.64,153.94,153.14,153.92,154.11,153.89,153.99,154.01,154.02,154.31,154.16,154.13,154.67,154.33,153.47,153.97,154.29,154.65,154.09,153.6,154.09,154.48,154.06,153.72,154.5,154.3,153.78,153.96,154.39,154.44,154.11,153.76,153.91,153.57,154.31,154.55,153.81,155.13,155.51,148.77,149.61,153.16,150.82,153.77,154.43,152.47,152.99,153.92,154.34,154.85,154.84,154.68,154.73,154.69,154.52,154.57,154.53,154.77,154.77,156.07,154.02,153.47,154.86,156.34,148.57,90.57]","pqdVALl1q-E1AAAAAAAAAA==","dbs/pqdVAA==/colls/pqdVALl1q-E=/docs/pqdVALl1q-E1AAAAAAAAAA==/","""09004c6f-0000-1800-0000-641e51370000""","attachments/",1679708471,
"1679711149.219328","2023-03-25 10:25:49.219328","Avehealth001","0007BDAF9F",150.43602409638552,"[145.53,151.94,152.09,152,152.01,152.03,151.38,149.39,148.04,149.17,150.93,151.32,151.34,151.68,151.54,151.43,151.43,151.41,150.61,150,150.24,149.72,155.21,156.19,148.65,148.88,150.36,149.7,148.28,147.68,147.59,147.76,148,148.92,148.91,148.09,149.74,147.63,149.29,148.92,149.72,150.04,150.36,150.27,150.25,150.27,150.26,150.25,150.24,150.15,150.6,150.56,150.53,150.53,150.55,150.56,150.58,150.57,150.55,150.53,150.5,150.74,150.81,150.8,150.81,150.81,150.81,150.81,150.82,150.67,150.69,150.74,150.79,150.84,150.92,150.99,151.05,151.08,150.78,150.82,151.02,150.94,150.98,150.98,155.31,157.85,156,156.09,156.23,156.56,156.57,156.52,156.38]","pqdVALl1q-E2AAAAAAAAAA==","dbs/pqdVAA==/colls/pqdVALl1q-E=/docs/pqdVALl1q-E2AAAAAAAAAA==/","""0900ad81-0000-1800-0000-641e5bc40000""","attachments/",1679711172,
"1679711175.674652","2023-03-25 10:26:15.674652","Avehealth001","0007BDAF9F",155.5875,"[155.3,156.47,155.06,155.52]","pqdVALl1q-E3AAAAAAAAAA==","dbs/pqdVAA==/colls/pqdVALl1q-E=/docs/pqdVALl1q-E3AAAAAAAAAA==/","""0900b181-0000-1800-0000-641e5bc90000""","attachments/",1679711177,
"1679711180.665045","2023-03-25 10:26:20.665045","Avehealth001","0007BDAF9F",156.17000000000002,"[152.35,153.26,156.28,158.96,151.14,157.16,158.69,155.84,155.53,156.7,156.45,156.45,156.01,155.54,156.7,156.63]","pqdVALl1q-E4AAAAAAAAAA==","dbs/pqdVAA==/colls/pqdVALl1q-E=/docs/pqdVALl1q-E4AAAAAAAAAA==/","""0900b981-0000-1800-0000-641e5bd10000""","attachments/",1679711185,
"1679711192.57389","2023-03-25 10:26:32.573890","Avehealth001","0007BDAF9F",156.284,"[155.31,155.1,158.7,160.84,153.93,154.11,155.27,157.62,157.97,157.02,157.81]","pqdVALl1q-E5AAAAAAAAAA==","dbs/pqdVAA==/colls/pqdVALl1q-E=/docs/pqdVALl1q-E5AAAAAAAAAA==/","""0900c081-0000-1800-0000-641e5bdc0000""","attachments/",1679711196,
